Status,Knoten Nr. oben,Knoten Nr. unten,Deckelhoehe oben,Deckelhoehe unten,Sohlhoehe oben,Sohlhoehe unten,Laenge,DN
0,1349,1348.2,228.11,225.64,225.8,224.08,31.9,400.0
0,1350,1349,229.22,228.11,226.62,225.85,31.91,400.0
0,24,23,207.34,207.61,203.277,202.963,49.85,800.0
0,24_RUe,24,207.34,207.34,203.297,203.283,2.27,800.0
0,744,Auslauf1,208.77,0.0,205.4,,209.0,500.0
0,745,744,209.11,208.77,205.651,205.46,13.29,300.0
0,746,745,209.55,209.11,205.758,205.662,24.94,300.0
0,747.1,747,208.38,207.92,206.098,205.932,46.58,300.0
0,747,746,207.92,209.55,205.929,205.761,62.01,300.0
0,748,747,207.95,207.92,206.97,206.59,1.36,300.0
0,747.2,747.1,207.18,208.38,206.169,206.101,44.2,300.0
0,749,748,209.54,207.95,207.732,206.66,65.44,300.0
0,749,762,209.54,209.21,207.707,206.663,15.91,300.0
0,762RU,744,209.35,208.77,207.25,207.14,19.25,400.0
0,762RU,762,209.35,209.21,206.786,206.66,18.57,900.0
0,763,762RU,209.66,209.35,207.515,207.26,14.21,1000.0
0,764,763,210.06,209.66,207.9,207.55,18.23,700.0
0,765,764,211.3,210.06,208.781,207.99,47.57,700.0
0,766,765,212.22,211.3,209.811,208.98,25.85,700.0
0,767,766,212.89,212.22,210.962,209.848,30.92,500.0
0,768,767,214.55,212.89,212.0,211.25,17.35,250.0
0,767F,767,213.49,212.89,211.581,210.989,32.15,500.0
0,769,768,217.46,214.55,212.275,212.035,23.97,200.0
0,770,766,213.64,212.22,211.69,209.97,46.19,300.0
